Location,Extra Features,Price
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2800000.00
Lekki,3 Bedrooms 3 Bathrooms 3 Toilets 3 Parking Spaces,1700000.00
Lekki,3 Bedrooms 3 Bathrooms 3 Toilets 3 Parking Spaces,1800000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets,1200000.00
Lekki,3 Bedrooms 4 Bathrooms 4 Toilets 10 Parking Spaces,1000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,3500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 8 Parking Spaces,650000.00
Shomolu,3 Bedrooms 2 Bathrooms 3 Toilets 1 Parking Space,900000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,3000000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets,10000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,3500000.00
Ajah,3 Bedrooms 3 Toilets,1400000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,1800000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,4500000.00
VI,3 Bedrooms 2 Bathrooms 3 Toilets,4000000.00
VI,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,12000000.00
VI,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,12000000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,14000000.00
Ajah,3 Bedrooms 4 Toilets,1300000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,13000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,3000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2800000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,1200000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,2800000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 6 Parking Spaces,1300000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets 10 Parking Spaces,9000000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets,1000000.00
Ikoyi,3 Bedrooms 2 Bathrooms 3 Toilets 2 Parking Spaces,6000000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,15000000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,13000000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 1 Parking Space,850000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,800000.00
Magodo,3 Bedrooms 4 Toilets,2000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,1900000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 5 Parking Spaces,800000.00
Yaba,3 Bedrooms 4 Bathrooms 4 Toilets 3 Parking Spaces,1600000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets,8000000.00
VI,3 Bedrooms 3 Bathrooms 4 Toilets 4 Parking Spaces,5000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,2000000.00
VI,3 Bedrooms 4 Bathrooms 4 Toilets,
Lekki,3 Bedrooms 3 Bathrooms,3500000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets,7000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2800000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,1800000.00
Yaba,3 Bedrooms 3 Bathrooms 3 Toilets 2 Parking Spaces,2000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,30000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,2000000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets,8000000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 5 Parking Spaces,1300000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2000000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,4500000.00
Lekki,3 Bedrooms 3 Bathrooms 2 Toilets,2000000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 5 Parking Spaces,800000.00
Ajah,3 Bedrooms 3 Bathrooms 4 Toilets 5 Parking Spaces,800000.00
Ikoyi,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,10000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,1700000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2200000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,2000000.00
VI,3 Bedrooms 3 Bathrooms 4 Toilets,12000000.00
VI,3 Bedrooms 3 Bathrooms 4 Toilets,4000000.00
VI,3 Bedrooms 3 Bathrooms 4 Toilets,5000000.00
Ajah,3 Bedrooms 4 Bathrooms 4 Toilets 10 Parking Spaces,1200000.00
Lekki,3 Bedrooms 4 Bathrooms 4 Toilets 25 Parking Spaces,1200000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2800000.00
Lekki,3 Bedrooms 4 Bathrooms 4 Toilets 15 Parking Spaces,1400000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,3500000.00
VI,3 Bedrooms 3 Bathrooms 3 Toilets,3500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,1800000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,3000000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,3000000.00
Lekki,3 Bedrooms 4 Bathrooms 4 Toilets 3 Parking Spaces,4500000.00
Lekki,3 Bedrooms 4 Bathrooms 4 Toilets 3 Parking Spaces,2500000.00
Ajah,3 Bedrooms 2 Bathrooms 3 Toilets 2 Parking Spaces,1500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,3000000.00
Ojodu,3 Bedrooms 3 Bathrooms 3 Toilets 8 Parking Spaces,750000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,3500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2800000.00
Lekki,3 Bedrooms 2 Bathrooms 3 Toilets,1500000.00
VI,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,3300000.00
Ikeja,3 Bedrooms 4 Bathrooms 4 Toilets,1500000.00
Lekki,3 Bedrooms 3 Bathrooms 3 Toilets,2500000.00
VI,3 Bedrooms 2 Bathrooms 2 Toilets,6000000.00
Lekki,3 Bedrooms 3 Bathrooms 3 Toilets,2300000.00
Ikeja,3 Bedrooms 3 Bathrooms 4 Toilets,1400000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2800000.00
VI,3 Bedrooms 4 Toilets,6000000.00
Ikeja,3 Bedrooms 3 Bathrooms 4 Toilets,1200000.00
Ikeja,3 Bedrooms 3 Bathrooms 4 Toilets,2700000.00
Ikeja,3 Bedrooms 3 Bathrooms 4 Toilets 14 Parking Spaces,1400000.00
Ikeja,3 Bedrooms 3 Bathrooms 4 Toilets,2500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,3500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,1500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,1800000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,1800000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets,2100000.00
Lekki,3 Bedrooms,3500000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 2 Parking Spaces,2800000.00
Lekki,3 Bedrooms 3 Bathrooms 4 Toilets 3 Parking Spaces,2800000.00
