Location,Parking Spaces,Toilets,Baths,Price
Lekki,2,4,3,2800000.0
Lekki,3,3,3,1700000.0
Lekki,3,3,3,1800000.0
Ajah,0,4,3,1200000.0
Lekki,10,4,4,1000000.0
Lekki,2,4,3,3500000.0
Lekki,8,4,3,650000.0
Shomolu,1,3,2,900000.0
Lekki,2,4,3,3000000.0
Ikoyi,0,4,3,10000000.0
Lekki,2,4,3,3500000.0
Ajah,0,0,0,1400000.0
Lekki,0,4,3,1800000.0
Lekki,0,4,3,4500000.0
VI,0,3,2,4000000.0
VI,3,4,3,12000000.0
VI,3,4,3,12000000.0
Ikoyi,3,4,3,14000000.0
Ajah,0,0,0,1300000.0
Ikoyi,3,4,3,13000000.0
Lekki,0,4,3,3000000.0
Lekki,2,4,3,2800000.0
Ajah,3,4,3,1200000.0
Lekki,0,4,3,2800000.0
Ajah,6,4,3,1300000.0
Ikoyi,10,4,3,9000000.0
Ajah,0,4,3,1000000.0
Ikoyi,2,3,2,6000000.0
Ikoyi,2,4,3,15000000.0
Ikoyi,2,4,3,13000000.0
Ajah,1,4,3,850000.0
Ajah,3,4,3,800000.0
Magodo,0,0,0,2000000.0
Lekki,3,4,3,1900000.0
Ajah,5,4,3,800000.0
Yaba,3,4,4,1600000.0
Ikoyi,0,4,3,8000000.0
VI,4,4,3,5000000.0
Lekki,0,4,3,2000000.0
VI,0,4,4,
Lekki,0,0,3,3500000.0
Ikoyi,0,4,3,7000000.0
Lekki,2,4,3,2800000.0
Lekki,3,4,3,1800000.0
Yaba,2,3,3,2000000.0
Lekki,0,4,3,30000000.0
Lekki,0,4,3,2000000.0
Ikoyi,0,4,3,8000000.0
Ajah,5,4,3,1300000.0
Lekki,2,4,3,2000000.0
Ikoyi,3,4,3,4500000.0
Lekki,0,2,3,2000000.0
Ajah,5,4,3,800000.0
Ajah,5,4,3,800000.0
Ikoyi,3,4,3,10000000.0
Lekki,2,4,3,1700000.0
Lekki,2,4,3,2200000.0
Lekki,0,4,3,2000000.0
VI,0,4,3,12000000.0
VI,0,4,3,4000000.0
VI,0,4,3,5000000.0
Ajah,10,4,4,1200000.0
Lekki,25,4,4,1200000.0
Lekki,2,4,3,2800000.0
Lekki,15,4,4,1400000.0
Lekki,0,4,3,3500000.0
VI,0,3,3,3500000.0
Lekki,0,4,3,1800000.0
Lekki,2,4,3,3000000.0
Lekki,2,4,3,3000000.0
Lekki,3,4,4,4500000.0
Lekki,3,4,4,2500000.0
Ajah,2,3,2,1500000.0
Lekki,0,4,3,3000000.0
Ojodu,8,3,3,750000.0
Lekki,3,4,3,3500000.0
Lekki,2,4,3,2800000.0
Lekki,0,3,2,1500000.0
VI,2,4,3,3300000.0
Ikeja,0,4,4,1500000.0
Lekki,0,3,3,2500000.0
VI,0,2,2,6000000.0
Lekki,0,3,3,2300000.0
Ikeja,0,4,3,1400000.0
Lekki,2,4,3,2800000.0
VI,0,0,0,6000000.0
Ikeja,0,4,3,1200000.0
Ikeja,0,4,3,2700000.0
Ikeja,14,4,3,1400000.0
Ikeja,0,4,3,2500000.0
Lekki,0,4,3,3500000.0
Lekki,2,4,3,1500000.0
Lekki,0,4,3,1800000.0
Lekki,0,4,3,1800000.0
Lekki,0,4,3,2100000.0
Lekki,0,0,0,3500000.0
Lekki,2,4,3,2800000.0
Lekki,3,4,3,2800000.0
Ikoyi,0,4,3,6000000.0
Lekki,4,4,3,5000000.0
Ikeja,24,4,3,2500000.0
Lekki,0,4,3,750000.0
Ajah,2,4,4,800000.0
Lekki,3,4,3,3000000.0
Lekki,2,4,3,4000000.0
Lekki,2,4,3,2800000.0
Lekki,2,4,3,3000000.0
Lekki,2,4,3,3000000.0
VI,2,4,3,3500000.0
Lekki,2,4,3,3000000.0
Ikoyi,3,2,2,3000000.0
Lekki,2,4,3,2500000.0
VI,2,4,3,6000000.0
Lekki,2,3,2,2200000.0
Lekki,8,4,4,1100000.0
Lekki,0,3,3,3000000.0
Lekki,2,3,3,3000000.0
Ikoyi,3,4,3,10000000.0
Ikeja,15,4,3,1200000.0
Lekki,0,4,3,2300000.0
Lekki,0,4,3,2800000.0
Ajah,25,4,4,1200000.0
Yaba,0,0,0,2000000.0
VI,1,3,2,4500000.0
Lekki,2,4,3,2500000.0
Lekki,4,4,3,2600000.0
Lekki,2,4,3,2800000.0
Agege,4,4,3,700000.0
